,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score
0,0.19036830183197298,0.01611286404262928,0.21035679336998117,0.1708987335876853,0.18984937853825248
1,0.34600678693831827,0.039221502326240484,0.3822430446973378,0.2915198584524515,0.36425745766516554
2,0.8851967008729615,0.0021373570788390042,0.8844413434357432,0.8881090431353619,0.8830397160477795
3,0.8841091146292644,0.010213470649317295,0.8702698646910537,0.8946104772936092,0.8874470019031306
4,0.8804861222235814,0.017221186045610473,0.8573030456758942,0.8856152619826044,0.8985400590122453
5,0.8704618426133103,0.014866585771240868,0.8702698646910537,0.8887648471755334,0.8523508159733434
6,0.8678368828610225,0.01479841539911175,0.8573030456758942,0.8887648471755334,0.8574427557316397
7,0.8739297761783139,0.015175633814387956,0.8524973938114188,0.8856152619826044,0.8836766727409184
8,0.8623345067826053,0.03345626146608152,0.8151331632657204,0.8887648471755334,0.8831055099065619
9,0.8715537249149311,0.018923233198887314,0.8450367252864358,0.881686575984359,0.8879378734739984
10,0.8556755753049422,0.02840382261143431,0.8194080903432428,0.8887648471755334,0.8588537883960504
11,0.8582356787725466,0.025758702699646908,0.8219311574321356,0.8789864861204034,0.8737893927651005
