,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score
0,0.270881336670915,0.015771110397698903,0.2592630549005216,0.2931784589756918,0.2602024961365316
1,0.4576135165002811,0.10280547077359509,0.6015194955583805,0.367723160247875,0.40359789369458793
2,0.8711283866834508,0.010883221033341082,0.879502126945736,0.8557577289288921,0.8781253041757242
3,0.8747823228021322,0.014267862557454485,0.8933784613386223,0.8587022496569812,0.872266257410793
4,0.8752746684379872,0.017764624260467866,0.8921003992184434,0.8507049499986312,0.8830186560968868
5,0.8630187924823344,0.008439572362962498,0.8738572300652341,0.8619280579031362,0.853271089478633
6,0.8589359033207505,0.02137300289358578,0.836743721061903,0.8522601581923084,0.8878038307080406
7,0.8875390741274481,0.011757574790974834,0.9036010377509168,0.8757837345366024,0.8832324500948253
8,0.8709022397812415,0.008517641565374481,0.8589325676866256,0.8780577761381178,0.8757163755189811
9,0.869490576738894,0.008836260686584468,0.8570801629448245,0.8744287096535213,0.8769628576183363
10,0.8696030738060827,0.008501153149968462,0.8582346508717584,0.8786745595917161,0.8719000109547737
11,0.8776247218087231,0.01646914733493353,0.895575330663296,0.8557971431771482,0.8815016915857252
