,mean_test_score,std_test_score,split0_test_score,split1_test_score,split2_test_score
0,0.09912629614761631,0.0015307204359574272,0.09756824590584183,0.10120686541399629,0.09860377712301084
1,0.2610686579556367,0.03040572533121406,0.2229026516439253,0.2629970940508915,0.2973062281720933
2,0.4973693082296249,0.041460396819324986,0.5333224896721724,0.43928070790096196,0.5195047271157404
3,0.5105723611239911,0.05183040358529531,0.5483601846652782,0.4372850085931667,0.5460718901135283
4,0.5276974691373445,0.032136784749124826,0.5517566318814279,0.48227586900246583,0.5490599065281397
5,0.5256674392838316,0.027476116286125705,0.5473456563909811,0.4869008061971995,0.5427558552633143
6,0.5150333771919684,0.03341716001050329,0.5500219639480942,0.47002710510720097,0.52505106252061
7,0.5209391435662485,0.028953123511006658,0.5511530632274372,0.4818996883455817,0.5297646791257264
8,0.5144369326333175,0.03582203864357776,0.552090255996946,0.466258982928173,0.5249615589748333
9,0.5161389594434741,0.03973370386219473,0.5532967852440492,0.46105493977381157,0.5340651533125615
10,0.5183443141319067,0.015891557384681603,0.5400404876976233,0.5024198670761097,0.5125725876219872
11,0.5355192434958419,0.017838035855416583,0.5607408073133043,0.5233532353722462,0.5224636878019752
