feature,mean,std
C13orf36,0.0013467042450460375,0.0016493691174014164
C14orf105,0.00010333083109363983,0.00030999249328091946
C14orf176,0.0,0.0
C17orf73,0.0009017866263720698,0.0027053598791162087
C17orf77,0.0,0.0
C18orf45,0.0,0.0
C19orf21,0.0,0.0
C19orf22,0.0006733521225230187,0.0013467042450460377
C19orf6,0.005410719758232418,0.004417834182954862
C19orf77,0.002356732428830566,0.0015428435354104563
C1orf122,0.0,0.0
C1orf135,0.0020200563675690565,0.0016493691174014164
C1orf186,0.008202727207774142,0.00419006707786771
C20orf111,0.0009017866263720698,0.0027053598791162087
C20orf201,0.0,0.0
C20orf24,0.006159854552068045,0.0036964089573135613
C2orf89,0.009147837619358968,0.0038879932292252267
C3orf42,0.0,0.0
C4BPA,0.0,0.0
C6orf223,0.0006733521225230187,0.0013467042450460377
C9orf125,0.0010100281837845282,0.0015428435354104565
C9orf167,0.0,0.0
C9orf91,0.0,0.0
CA7,0.0018035732527441396,0.003607146505488279
CAMK2N1,0.0,0.0
CAPN5,0.005301391710908732,0.004603926532673007
CAPNS2,0.0003366760612615094,0.0010100281837845282
CCDC8,0.0,0.0
CCL23,0.0013467042450460375,0.0016493691174014164
CCNE1,0.0006733521225230187,0.0013467042450460375
CD44,0.0,0.0
CDC40,0.006094936779868343,0.005001649580230895
CDCA4,0.0,0.0
CDH15,-0.002333273485347176,0.002333273485347176
CDH3,0.0013467042450460375,0.0016493691174014162
CDH6,0.00020666166218727967,0.0004133233243745593
CDHR2,0.0003366760612615094,0.0010100281837845282
CDHR5,0.0030300845513535845,0.0010100281837845282
CDK18,0.0006733521225230187,0.0013467042450460375
CDR1,0.003366760612615094,0.0
CDR2L,0.0,0.0
CDX2,0.0030300845513535845,0.0010100281837845282
CEACAM6,0.0020200563675690565,0.0016493691174014164
CEACAM8,0.0006733521225230187,0.0013467042450460377
CELSR2,0.0,0.0
CEP110,0.0,0.0
CHODL,0.0,0.0
CLCA2,0.0,0.0
CLDN18,0.005410719758232418,0.004417834182954862
CLDN3,0.0030300845513535845,0.0010100281837845282
CLDN4,0.003366760612615094,0.0
CLDND1,0.0,0.0
CNKSR1,0.0006733521225230187,0.0013467042450460375
CNN3,0.001683380306307547,0.001683380306307547
COL10A1,0.0,0.0
CPE,0.001683380306307547,0.001683380306307547
CRB2,0.003607146505488279,0.004417834182954862
CRB3,0.0,0.0
CREB3L4,0.0013467042450460375,0.0016493691174014162
CRELD2,0.0006733521225230187,0.0013467042450460375
CSNK1G2,0.0,0.0
CSTA,0.0,0.0
CTSE,0.0,0.0
CTTN,0.0009017866263720698,0.0027053598791162087
CTU1,0.005410719758232418,0.004417834182954862
CUBN,0.0015751387488950885,0.0028139197787598134
CX3CL1,0.0,0.0
CXCL1,0.0003366760612615094,0.0010100281837845282
CXCL2,0.001683380306307547,0.001683380306307547
CXCL3,0.0020200563675690565,0.0016493691174014164
CXorf56,0.002693408490092075,0.0013467042450460377
CYR61,0.0,0.0
D4S234E,0.004508933131860349,0.004508933131860349
DAPL1,0.001683380306307547,0.001683380306307547
DCUN1D1,0.0020200563675690565,0.0016493691174014164
DDR1,0.0,0.0
DENND2C,0.0,0.0
DGCR5,0.0006733521225230187,0.0013467042450460375
DHDPSL,0.0,0.0
DKK3,0.0,0.0
DLL4,0.0,0.0
DLX5,0.0,0.0
DMGDH,0.0,0.0
DNAJB13,0.002356732428830566,0.0015428435354104565
DOCK2,0.0018035732527441396,0.003607146505488279
DSE,0.006768288902391362,0.00431532543527287
DSTN,0.0018035732527441396,0.003607146505488279
DYSF,0.0,0.0
EDNRB,0.003607146505488279,0.004417834182954862
EFHD1,-0.004872794076110587,0.005659054773456281
EMX2,0.0003099924932809195,0.0004735213551093011
EMX2OS,0.0026667249221114632,0.0015921716660157405
ENPEP,0.0016044763541982476,0.0
ENPP1,0.007214293010976558,0.003607146505488279
ENTPD3,0.003607146505488279,0.004417834182954862
EPB41L1,0.0,0.0
EPB41L4B,0.002476925375267158,0.003520829231865598
EPHA10,0.0,0.0
EPHB2,0.0,0.0
EPN3,0.0,0.0
