,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,2.2550134658813477,0.012767301052476596,0.15824047724405924,0.014276810249365396,100,5,1,log2,30,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': False}",0.8544915257244025,0.9240958611888843,0.8875124380479231,0.8886999416537366,0.028428254753248533,14,0.7790361153997517,0.8689643099217567,0.8154329004329004,0.8211444419181362,0.036934503490188036,42,0.7809036370915865,0.8718266458448098,0.8263246764017811,0.8263516531127258,0.037119167788730416,31
1,16.13496979077657,0.18736427975440842,0.30934890111287433,0.007011352846003762,1000,10,4,log2,30,False,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': False}",0.7539964054128916,0.8659001487572916,0.7877866502866504,0.8025610681522779,0.046863806297777866,89,0.7540839841976207,0.809187975145422,0.7960651848151848,0.7864457147194092,0.02350195890114245,87,0.7472024244350043,0.8062268756530296,0.7887423259733896,0.7807238753538078,0.024754704915110132,89
2,11.468477328618368,0.03937470163723463,0.31717626253763836,0.012051793450410065,1000,5,4,log2,30,True,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': True}",0.7566173656577291,0.7651712026712026,0.7903892488006737,0.7707259390432019,0.014335883762479506,97,0.7569248932885297,0.7777495232040686,0.7952697302697302,0.7766480489207762,0.015673577872251043,94,0.7497370441427393,0.7680501442557318,0.7880733120914951,0.7686201668299888,0.015655905262042427,96
3,6.393316666285197,0.07302502580145262,0.22342952092488608,0.006588073224417687,500,2,2,log2,30,True,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': True}",0.7527027088859293,0.9543253893253894,0.7896277278562259,0.8322186086891815,0.08764859255189984,59,0.7505874807011171,0.8375985125985127,0.7887924575424576,0.7923261502806959,0.03560987836952555,82,0.7450013402200436,0.8495050186547796,0.7852307906869824,0.7932457165206018,0.04303823090142445,76
4,3.7915660540262857,0.025666840768198192,0.18988450368245444,0.007173302356462989,200,2,2,log2,,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}",0.8518595483025089,0.8935193358404192,0.8804233314947599,0.8752674052125626,0.01739390997440477,21,0.7729755093391457,0.8549180026936315,0.8189323176823177,0.8156086099050316,0.03353533787245011,48,0.7692716155123441,0.8567396976733367,0.8261845265303065,0.8173986132386624,0.036245096712123254,44
5,25.86368179321289,0.21038990971304175,0.18484910329182944,0.013750833092992238,200,5,1,sqrt,,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",0.9303069801112854,0.920147286104733,0.8787129260172312,0.9097223974110832,0.022315843888312318,4,0.842468327127418,0.8935127412883698,0.8197277722277722,0.8519029468811867,0.030852492630169422,7,0.8611453029686309,0.8974281759100845,0.8267020759166234,0.861758518265113,0.028877065061176672,6
6,6.1740829149882,0.029116124254457868,0.15033578872680664,0.011413678053274253,50,10,4,sqrt,30,False,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",0.8869083899735647,0.8720145894058938,0.8879426752469807,0.8822885515421465,0.007277048851907157,19,0.8352711682257137,0.8680051090109118,0.8268768731268733,0.8433843834544996,0.017743564894438582,15,0.8426003177575185,0.8679463412333132,0.8356130952339167,0.8487199180749161,0.013891168183367239,15
7,2.554966767628988,0.029109395729036647,0.19228561719258627,0.010710754631185121,200,5,4,log2,10,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': True}",0.7566173656577291,0.7637416860603807,0.7865510366826155,0.7689700294669084,0.012767350190726539,100,0.7569248932885297,0.7764868969414424,0.7845004995004995,0.7726374299101573,0.011582092839325129,98,0.7497370441427393,0.7665814592908188,0.7795735566822941,0.7652973533719507,0.012214501385345378,99
8,12.972668011983236,0.07373920061185273,0.17710979779561362,0.0032686145181399177,100,5,2,sqrt,,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",0.8105861194910863,0.9053176712751181,0.8945656259488786,0.870156472238361,0.04235069314269784,24,0.7848925695516605,0.8846973142911246,0.8260814185814187,0.8318904341414012,0.04095164029648862,24,0.7788565072107079,0.8889182762392327,0.837776063784183,0.8351836157447079,0.04496990727549643,22
9,2.6357558568318686,0.0885279034581909,0.1865393320719401,0.01352193182408599,200,5,2,log2,,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.7543622093645136,0.861284779141922,0.7908234690519671,0.8021568191861342,0.04438049572277529,90,0.7540839841976207,0.8264159491915778,0.7922889610389611,0.7909296314760531,0.029545040448070756,83,0.7474562582759408,0.8257432134496754,0.7876233939199218,0.7869409552151794,0.03196415836039779,87
