,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,0.8597070376078287,0.023018333620904195,0.030608495076497395,0.0045235278856080785,100,5,1,log2,30,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': False}",0.9019424463033485,0.9429680209968648,0.8588471673254283,0.9012525448752138,0.034345659391818495,44,0.8273955211455211,0.8339993339993339,0.8222377622377621,0.827877539127539,0.004813723339016771,49,0.8377669594184073,0.8447838659231064,0.8289605396814594,0.8371704550076577,0.00647360159784495,47
1,9.03088108698527,0.0527265315600679,0.18849380811055502,0.012771206149599179,1000,10,4,log2,30,False,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': False}",0.8545806651863864,0.8493223546313718,0.8647882042002,0.856230408005986,0.0064207665300191254,85,0.7996775951321407,0.7911421911421911,0.8125407925407925,0.8011201929383747,0.008795296158628198,77,0.8025117814234348,0.7995421557052573,0.8257839904456445,0.8092793091914455,0.011733372538860986,81
2,7.2025807698567705,0.17068904227137022,0.17160352071126303,0.01399779360890917,1000,5,4,log2,30,True,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': True}",0.7558532275678709,0.8533621137715326,0.7644846159807798,0.7912333191067278,0.04407278496124138,96,0.7682317682317682,0.779020979020979,0.7513286713286714,0.7661938061938062,0.01139681076098309,95,0.7567041948464037,0.7893255986437805,0.7497882460083605,0.7652726798328482,0.017240741758531974,95
3,4.003043095270793,0.26231006434775606,0.10478822390238444,0.007348368099384834,500,2,2,log2,30,True,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 30, 'bootstrap': True}",0.8495277170712373,0.846710121185805,0.8649457953288181,0.8537278778619535,0.008015234072832436,89,0.7896875851421306,0.7911421911421911,0.816037296037296,0.7989556907738726,0.012093108187046462,82,0.7940068351681142,0.7983942364824718,0.8278814435735147,0.8067608384080337,0.015041549000250773,85
4,1.9471062024434407,0.012415053776968372,0.05208651224772135,0.0073644597002970125,200,2,2,log2,,False,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}",0.8557869666565318,0.9467219942962924,0.8660441370223979,0.889517699325074,0.04066571781688866,55,0.8225609617655073,0.8400599400599401,0.847995337995338,0.8368720799402617,0.010625400781684132,31,0.8283823946996433,0.8504334233373698,0.8507325354384179,0.8431827844918103,0.010466168369634628,35
5,4.593897819519043,0.019759068367828536,0.04184603691101074,0.014677132323434197,200,5,1,sqrt,,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",0.8821562198185575,0.9526116998943085,0.954227590591227,0.9296651701013644,0.0336003774127291,14,0.8310481185481187,0.8626040626040626,0.8731035631035631,0.8555852480852483,0.017872006455649306,11,0.8386388355296069,0.8793075165886619,0.8792877474654915,0.8657446998612534,0.0191667421780329,10
6,1.0335338115692139,0.029412249064387566,0.026225566864013672,0.007496032476191405,50,10,4,sqrt,30,False,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 30, 'bootstrap': False}",0.9414631444219249,0.9144788323525865,0.9017842330829345,0.919242069952482,0.01654529793398834,27,0.8302364302364302,0.8407350225532043,0.8258903596403596,0.832287270809998,0.006231397090147104,39,0.8376377194234337,0.8585631095846277,0.8385410667430357,0.8449139652503658,0.009658445868361183,32
7,1.4138075510660808,0.038253697988395924,0.05749034881591797,0.007510528624722586,200,5,4,log2,10,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': True}",0.746973218687862,0.7467701801744355,0.8540666030621054,0.782603333974801,0.05053223016150411,99,0.7439832894378349,0.7391608391608391,0.7498135198135198,0.744319216137398,0.004355420862374403,99,0.735397917227174,0.7322174884084919,0.7690361425653368,0.7455505160670008,0.01665752624455744,99
8,2.264271100362142,0.04790399155383177,0.031284491221110024,3.2261087018258994e-05,100,5,2,sqrt,,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': False}",0.9114717527704539,0.929520576322902,0.9491172077616387,0.9300365122849982,0.015373022101744073,12,0.8429466366966367,0.8598492416674236,0.8579420579420579,0.8535793121020393,0.00755864525551444,14,0.8511865073180919,0.8763078095288044,0.8698649453388146,0.8657864207285703,0.010653504225926915,9
9,1.4447081883748372,0.03393564166225132,0.042084455490112305,0.0073733434696785245,200,5,2,log2,,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.8529911823122699,0.8506814610908798,0.8619990348377609,0.8552238927469702,0.004882664285881727,86,0.7891880846426301,0.7876456876456875,0.8104195804195805,0.7957511175692994,0.010391265528208527,84,0.7959350520933726,0.7980763284334713,0.8254934052028857,0.8065015952432432,0.013457659535212633,86
