,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,0.48280844688415525,0.030574375255926805,0.022397661209106447,0.007711352867467145,100,5,4,sqrt,70,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.5766004657707205,0.6109850605721265,0.4113919234048552,0.3842167515441173,0.4759246398283832,0.4918237682240406,0.08909302556822243,44,0.5362793523625836,0.5263333924961544,0.41854253040828093,0.41937309519233407,0.5169222916346539,0.48349013241880134,0.0530455302844264,49,0.5441798295473432,0.5382091002925127,0.4040452814091259,0.3953655969802471,0.48847797721006536,0.47405555708785885,0.06377247904576791,46
1,0.19109635353088378,0.015778539369098215,0.026739168167114257,0.007294986893780213,50,10,6,sqrt,50,True,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.4500941252423465,0.4498072410240184,0.4031465610412979,0.37277918992717,0.41477154920551146,0.41811973328806884,0.029385816250039228,94,0.47207219952629986,0.4452975556588821,0.4159182431381163,0.4106303140129779,0.46281581331764926,0.4413468251307851,0.02453850523005082,99,0.44847065401487285,0.42757002449891784,0.3927823159787969,0.38211611430307835,0.43328929418311724,0.41684568059575666,0.025182260483482388,100
2,0.21282024383544923,0.012645891662209977,0.018311452865600587,0.003080613054947932,50,10,4,sqrt,50,True,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.45554878297802825,0.4325383965627868,0.412335437665605,0.3830640051737629,0.4309687534687534,0.4228910751697873,0.02417627996048104,86,0.4867893173737727,0.44154411213271133,0.4335627110732819,0.4208095375378674,0.48113619142994907,0.4527683739095164,0.026375619138567688,77,0.46284209456713177,0.42386480456704834,0.4132116092635958,0.39606618871324756,0.452231633225035,0.42964326606721165,0.024670657189781203,76
3,0.1590402603149414,0.013276124772419708,0.015452718734741211,0.004295012930859145,50,10,2,log2,50,False,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': False}",0.4624475272202545,0.584342436876999,0.4967852622398077,0.40987937775022176,0.5446747993539437,0.4996258806882453,0.06107541868017954,43,0.4839259530079603,0.5250556630485685,0.4635202447306041,0.43311653990829463,0.5244714676048825,0.486017973660062,0.03552942003394562,45,0.46809789316087475,0.5268669802688991,0.45490403472325325,0.4136166472605268,0.5095341138216158,0.4746039338470339,0.04025271968558786,45
4,0.5459201812744141,0.03491635968761674,0.03455495834350586,0.006167551755091475,200,10,4,log2,,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}",0.5128720829600595,0.5200930563094633,0.41759146650451,0.3743867479944962,0.4392238363137506,0.4528334380164559,0.056052825316020724,59,0.5094709995566788,0.4634527922351714,0.4267543679013024,0.4118809661092959,0.4959279276415139,0.4614974106887925,0.03784077123509025,70,0.49199044030177697,0.4498755632381725,0.4050688256666686,0.3860568156242676,0.4630059024107886,0.43919950944833486,0.038617753256920156,66
5,0.48923768997192385,0.014523834955533041,0.033148670196533205,0.011276725837354883,200,5,6,log2,70,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 70, 'bootstrap': False}",0.4631741613253789,0.4239408034619751,0.4308498023715415,0.3814653740769261,0.41957128237616037,0.4238002847223964,0.02611569154187995,82,0.4864105294949848,0.4493572917760346,0.4280530692000037,0.4171938350585285,0.4781837786856146,0.4518397008430332,0.02706087525086206,82,0.46195920163247595,0.4258822977085474,0.4065004830408659,0.3904769479961112,0.4438440237648289,0.4257325908285658,0.02550783435331178,80
6,0.41368350982666013,0.027723556104126055,0.027862358093261718,0.006947706208513912,100,2,1,log2,50,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': True}",0.552577511824939,0.7223153036338579,0.41962291699222815,0.48175581573308845,0.49770582719891476,0.5347954750766057,0.10289164447293775,14,0.5307469166220695,0.5735706970713571,0.4358513403439408,0.43032137289536865,0.5291374666405266,0.4999255587146526,0.05688083370501536,25,0.5308712883382791,0.590826231699837,0.4200465767288897,0.4194663043816185,0.5062916808049001,0.4935004163907049,0.06619521001259945,25
7,1.3916128158569336,0.030543005374464957,0.07929854393005371,0.010591222012630198,500,5,6,log2,,False,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}",0.46601783649266015,0.41340673035258874,0.41447143121224356,0.38428892598171593,0.42321966404116496,0.42028091761607467,0.02637017263307869,92,0.49063885930470996,0.44250648707833995,0.4259869534975243,0.4200076878723813,0.48691490883657346,0.45321097931790577,0.029983306569149767,76,0.4655678250858888,0.4173342860999832,0.4029503665610887,0.3922147233281122,0.44921812806095823,0.4254570658272062,0.02775264125795503,88
8,2.3824431896209717,0.041251996944199225,0.07479720115661621,0.009658938929636113,500,5,2,sqrt,10,True,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.582576900327827,0.479867635319763,0.5292048531178966,0.48436507936507933,0.48763890764361073,0.5127306751548353,0.03915118623751161,35,0.524697468654017,0.46992480905407813,0.4631180042649387,0.47039631439737145,0.518006821140236,0.4892286835021283,0.02643967167383135,40,0.5132112951290693,0.4532764514253698,0.4508215134733957,0.4629069261755872,0.4935611870622402,0.4747554746531324,0.024523768002850634,44
9,1.444133472442627,0.023157934395022797,0.08241782188415528,0.006801972833927049,500,5,4,log2,10,False,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}",0.5111091193784724,0.4308529970239228,0.4191959381614554,0.3803325012135081,0.4361942987118894,0.4355369708978497,0.04253959130293877,70,0.507638723305798,0.46381828931119473,0.42918565754189425,0.41394708181177525,0.495927927641514,0.46210353592243525,0.03639536765572259,67,0.4886335363371883,0.4383764046951903,0.4064146387509098,0.38968036544369133,0.4603587855717042,0.4366927461597368,0.03574266229765687,71
