,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
0,2.0051197528839113,0.08946754017259446,0.020296573638916016,0.008332984078624246,100,5,4,sqrt,70,False,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 70, 'bootstrap': False}",0.9730326985267698,0.942857142857143,0.9353701853701853,0.955959595959596,0.8246104887797678,0.9263660222986922,0.052460992906752914,26,0.9522727272727273,0.9401913875598086,0.8925865800865801,0.8881313131313132,0.8154173312068047,0.8977198678514469,0.04831530403591875,12,0.9581351497866923,0.9412587412587413,0.8917669094923447,0.9084677948314313,0.8072381723759384,0.9013733535490296,0.05256765709805665,14
1,0.6686995029449463,0.0310653994890735,0.017705774307250975,0.0035127423650009736,50,10,6,sqrt,50,True,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 6, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.8605253158544695,0.8063358542985029,0.9487179487179488,0.8752548696514214,0.8109639837696264,0.8603595944583938,0.051744731732407005,88,0.7978715728715727,0.812200956937799,0.8484848484848484,0.840736914600551,0.8166932482721957,0.8231975082333933,0.01871744049113415,95,0.7922714158195102,0.809170653907496,0.8499472160303035,0.8412076093735533,0.8070361678727018,0.819926612600713,0.021912469398155627,93
2,0.7060953140258789,0.02257055968628633,0.01699409484863281,0.008255146498542908,50,10,4,sqrt,50,True,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 50, 'bootstrap': True}",0.9587721520323401,0.9111111111111111,0.9090691092258489,0.8647944966910486,0.9050078709169619,0.9097509479954621,0.029829424020898707,57,0.8664141414141414,0.8690191387559808,0.8452380952380952,0.8483585858585859,0.8621477937267411,0.8582355509987089,0.00964332977651956,67,0.8794155336424869,0.8823055812088711,0.8429148986211312,0.8511396125611284,0.8692371248105009,0.8650025501688237,0.015524857411184206,66
3,0.4745345115661621,0.028329015105755702,0.014026069641113281,0.003215635910147731,50,10,2,log2,50,False,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': False}",0.8582609309882036,0.9298701298701298,0.9333499833499833,0.9766172698774579,0.9050078709169619,0.9206212370005472,0.03877035895450688,40,0.807972582972583,0.8833732057416267,0.886904761904762,0.8983585858585859,0.8621477937267411,0.8677513860408597,0.03210171111180231,51,0.8152438218066694,0.8980262675177929,0.8876174042917341,0.9190585449001231,0.8692371248105009,0.8778366326653642,0.03519756356315011,46
4,1.7634164810180664,0.03696283976238811,0.033409929275512694,0.0072556463893439635,200,10,4,log2,,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}",0.9541619474221356,0.9222943722943723,0.9065250203181237,0.9766172698774579,0.8109639837696264,0.9141125187363432,0.05705249123209706,54,0.8664141414141414,0.8785885167464116,0.8452380952380952,0.8983585858585859,0.8166932482721957,0.861058517505886,0.028092139665196823,64,0.8854277213916578,0.8926316621231876,0.840261517753119,0.9190585449001231,0.8070361678727018,0.8688831228081579,0.03999882986965615,56
5,1.707531499862671,0.055980054558656706,0.03225550651550293,0.002767811644241724,200,5,6,log2,70,False,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': 70, 'bootstrap': False}",0.9494166926768807,0.9176308539944903,0.9146058283989319,0.8827823691460055,0.8138620957586475,0.8956595679949911,0.046017769090388676,72,0.8462121212121212,0.8720095693779903,0.8509199134199134,0.8529040404040404,0.8106326422115896,0.8465356573251309,0.019989143902032387,78,0.8548882844692423,0.8852634206086045,0.8481429890121994,0.8569125843875566,0.8056936479936367,0.8501801852942478,0.025618458053543916,77
6,0.6992767333984375,0.02375593013286085,0.02373661994934082,0.004664157718339615,100,2,1,log2,50,True,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 50, 'bootstrap': True}",0.863451125676831,0.9439393939393939,0.9246993746993746,0.8827823691460055,0.9066295364714336,0.9043003599866077,0.028721008863097253,63,0.8389069264069264,0.8815789473684211,0.8755411255411256,0.8529040404040404,0.8634237107921319,0.8624709501025292,0.015385979152115354,56,0.8393636128912166,0.8955057436442035,0.8660418777440054,0.8569125843875566,0.8741524658040085,0.8663952568941982,0.018592205146720032,63
7,4.40988826751709,0.20246883209866517,0.07885780334472656,0.016673822825744908,500,5,6,log2,,False,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 6, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}",0.9494166926768807,0.9176308539944903,0.9146058283989319,0.8827823691460055,0.7906710948403738,0.8910213678113363,0.054428602566381934,79,0.8462121212121212,0.8720095693779903,0.8509199134199134,0.8529040404040404,0.8005316321105794,0.8445154553049289,0.0236844553678845,86,0.8548882844692423,0.8852634206086045,0.8481429890121994,0.8569125843875566,0.7879544258194645,0.8466323408594134,0.03197368951419884,86
8,9.319218683242799,0.31775419758303486,0.07922959327697754,0.009667123373881122,500,5,2,sqrt,10,True,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}",0.951701444961633,0.9277997364953886,0.9307140670777034,0.9777777777777779,0.9050078709169619,0.9386001794458929,0.02455121543908625,12,0.8563131313131312,0.8767942583732058,0.8755411255411256,0.8983585858585859,0.8621477937267411,0.873830978962558,0.014537406438252768,39,0.871362164638354,0.8902340597255851,0.8697503621827128,0.9196322576087972,0.8692371248105009,0.88404319379319,0.019438217504985665,38
9,5.695860385894775,0.060883358564879045,0.07963008880615234,0.008731448582125143,500,5,4,log2,10,False,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}",0.9494166926768807,0.9176308539944903,0.9327801827801828,0.8837338906304424,0.9050078709169619,0.9177138981997917,0.022574990803005703,44,0.8462121212121212,0.8720095693779903,0.8812229437229437,0.8529040404040404,0.8621477937267411,0.8628992936887675,0.012630794427847572,55,0.8548882844692423,0.8852634206086045,0.8739233490030859,0.8574313006709983,0.8692371248105009,0.8681486959124864,0.011118868374192686,59
